"Name","dropout","weight_decay","learning_rate","n_conv_layers","similarity","layer_sizes","_wandb","final_validation_r_fold_2","final_validation_mse_fold_1","train_r_fold_3","train_r2_fold_0","validation_r_fold_2","train_r_fold_4","train_mse_fold_4","final_validation_r2_fold_0","final_validation_r2_fold_3","validation_mse_fold_1","validation_mse_fold_4","final_validation_r_fold_0","validation_r2_fold_3","train_r2_fold_3","validation_r2_fold_2","train_mse_fold_2","cv_validation_average_r2","final_validation_mse_fold_3","train_mse_fold_1","final_validation_mse_fold_4","train_r2_fold_4","validation_r_fold_0","validation_r_fold_3","cv_validation_average_mse","train_r2_fold_2","final_validation_r_fold_4","validation_r_fold_1","validation_r2_fold_4","validation_mse_fold_2","final_validation_r2_fold_4","final_validation_mse_fold_0","validation_r_fold_4","train_r_fold_1","cv_validation_average_r","final_validation_r2_fold_1","final_validation_r2_fold_2","train_r_fold_0","train_mse_fold_0","validation_mse_fold_3","final_validation_mse_fold_2","final_validation_r_fold_3","train_r2_fold_1","final_validation_r_fold_1","validation_r2_fold_1","train_mse_fold_3","train_r_fold_2","validation_r2_fold_0","validation_mse_fold_0"
"summer-sweep-29-fold-4","0.0031422451395065054","0.0006053263321345489","0.013364943024722674","2","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[2048, 1024, 512, 256, 128, 1]","null","[0.7258302086136431,0]","27.894620895385746","0.8316062337467863","0.8199839002330223","0.6727521816341607","0.9356591881795162","7.218294143676758","0.5014997926370892","0.5139609354907577","32.67186737060547","32.714664459228516","[0.7124621502665447,0]","0.1706574027758848","0.6847243245018503","0.4304598446127501","8.1133394241333","0.5068138643538884","26.982280731201172","5.228909492492676","28.44977569580078","0.8704025902310178","0.6545996159278407","0.5377207847765065","27.543017578125","0.8551517757588329","[0.7063399389719577,0]","0.687471490592217","0.4202336890483313","31.417810440063477","0.4958156596390457","27.82413673400879","0.6817506360051035","0.9576537023503432","[0.7164901502540398,0]","0.504348444578","0.5184444894245491","0.9056689604772163","10.054254531860352","46.0406494140625","26.564273834228516","[0.7226826311447551,0]","0.9061809247632928","[0.7151358222732984,0]","0.41946292566648025","17.632347106933594","0.9253076441995444","0.3943465129912662","33.80496597290039"
"different-sweep-7-fold-4","0.30680627722115655","0.002071301819732281","0.0016794944053845206","2","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 256, 128, 128, 1]","null","[0.7156418650372596,0]","28.20943832397461","0.8620062636004971","0.673152198898227","0.6015917196021173","0.8778812878649438","16.75917625427246","0.4755654689256757","0.4941535256008104","47.7289924621582","45.71855163574219","[0.6912303742989633,0]","0.22175965329293057","0.6926174636220324","0.2203188600728183","16.588449478149414","0.4966445406022066","28.08188247680664","19.166833877563477","27.901521682739254","0.6991054040657564","0.567122738461463","0.5937129969688","28.107558822631837","0.7038448210825338","[0.7166997552245218,0]","0.5622963976544375","0.18977993297082216","43.00991439819336","0.5055317361888172","29.271678924560547","0.6037967694745531","0.8460591128704278","[0.708441946455982,0]","0.49875455547492464","0.509217416820805","0.8408184826389107","18.25509262084961","43.20372772216797","27.073272705078125","[0.711002296599681,0]","0.6561014332853405","[0.707635441119485,0]","0.1519172165185083","17.190908432006836","0.8679314283275229","0.19195282013636936","45.101715087890625"
"bumbling-sweep-16-fold-4","0.10462384921998248","0.03667622629763852","0.003411922641944559","3","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","[0.7026725092682169,0]","28.189878463745117","0.7966626666946958","0.6712423762058908","0.5241057013474906","0.6295596382505961","34.91075134277344","0.4921800334482508","0.4877859206386397","38.22110748291016","49.138675689697266","[0.705132053737117,0]","0.2782863175924736","0.6182176402028069","-0.38885187195164694","59.73961639404297","0.49481561539643504","28.43537712097168","18.23408889770508","28.06955337524414","0.373211561144849","0.6280407449617078","0.6007438034549695","28.207403945922852","-0.06653703358585261","[0.709862745981948,0]","0.6175941995570633","0.12916885486732457","76.6138916015625","0.502553920699106","28.34432601928711","0.46451052871814624","0.8272590265092518","[0.7064092308801392,0]","0.4991020914117521","0.49245611078442686","0.8318836827635883","18.36176109313965","40.065670013427734","27.99788475036621","[0.7060242905665377,0]","0.6728370934546917","[0.7083545548468768,0]","0.32085992392601714","21.351850509643555","0.6318456153823074","0.297744161346881","39.1968994140625"
"prime-sweep-6-fold-4","0.32709147206300676","0.0015493637247607974","0.0024824688182992142","2","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[512, 512, 512, 256, 128, 1]","null","[0.707052692540311,0]","27.988210678100582","0.8236758476720925","0.6646529014899639","0.5700869866515796","0.8706935418856787","18.4542236328125","0.4770554131505844","0.48752175828276656","48.368309020996094","45.39603805541992","[0.6965821194076077,0]","0.1802777748946487","0.649708172572558","0.20687201599599592","18.745281219482425","0.49090828443912304","28.450042724609375","20.33409118652344","28.288331985473633","0.6686724691517751","0.5578775773365172","0.538087289905899","28.425117874145503","0.665338716095667","[0.7131076241638924,0]","0.5464155595587762","0.19549555554352416","43.7516975402832","0.4986767482361498","29.18851661682129","0.601965042246822","0.8296798870413196","[0.7081650485135899,0]","0.5026854591435235","0.4886020433825908","0.8465977868722154","18.729795455932617","45.50657653808594","28.210487365722656","[0.7136404086576125,0]","0.6351580362844612","[0.7104423977985255,0]","0.14055729046871257","19.59068489074707","0.8430272918941377","0.17219839244195712","46.204322814941406"
"fluent-sweep-26-fold-4","0.4074713880048044","0.006715294687813469","0.0032458072857359903","3","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 256, 128, 128, 1]","null","[0.6984818264686528,0]","29.519990921020508","0.8034966887459414","0.5092991751889134","0.49061196437827975","0.6404827852673977","39.34534454345703","0.4774892054361928","0.5011814346179313","55.59699630737305","62.12135696411133","[0.7021283170498873,0]","0.026291573771477506","0.4865368242040208","0.012737137810481247","28.492456436157227","0.48851342393116715","27.691730499267575","35.205230712890625","28.084632873535156","0.2935928768323748","0.5342511552823133","0.5699989928808166","28.561369323730467","0.4913214662598806","[0.7104926829218307,0]","0.46854117345424834","-0.10090904447080962","54.460845947265625","0.5022866694060241","29.164304733276367","0.4246606255675717","0.6729328997971871","[0.7023181274457363,0]","0.4754677175553088","0.486142092640379","0.764748231851085","27.40660858154297","54.05507278442383","28.346187591552734","[0.7082807553289461,0]","0.3683344327922603","[0.692207055459365,0]","0.012112822485129682","28.716327667236328","0.7601762585184029","0.08199845914767478","51.238895416259766"
"blooming-sweep-24-fold-4","0.32348120033326855","0.002474507852883656","0.001462292304558391","3","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 256, 128, 128, 1]","null","[0.688560591163895,0]","29.394712448120117","0.8482972112991192","0.6935461645052627","0.581295376949718","0.8688962037436064","17.036827087402344","0.47855910886595554","0.4949941851812462","44.891483306884766","43.12570571899414","[0.7027207734276751,0]","0.20914778610921136","0.6828443657957419","0.1342388697457143","17.805566787719727","0.4837739122800565","28.035213470458984","17.621395111083984","28.11792755126953","0.6941204598569368","0.5821164806764136","0.572913903519265","28.822764587402343","0.6821155397183205","[0.712969833915601,0]","0.5873076650483446","0.23573015852028736","47.758392333984375","0.5016966296119951","29.10458755493164","0.6104996257836298","0.8537010429628262","[0.7034600773067792,0]","0.4776937252215069","0.4659259125195788","0.8618055453683543","17.116050720214844","43.90386962890625","29.461381912231445","[0.7104433697945123,0]","0.6838302430603049","[0.7026058182322128,0]","0.20233604951735973","17.73748779296875","0.8668247698469741","0.201435363839626","44.57244491577149"
"copper-sweep-9-fold-4","0.2911165658590436","0.0008437038284745907","0.006769435829292231","2","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 256, 128, 128, 1]","null","[0.7036632881174956,0]","29.888153076171875","0.8737684860820334","0.6933781055279133","0.6124683457590412","0.8532901379164376","16.006715774536133","0.4706901880450092","0.47961427183009087","60.49347305297851","41.0382194519043","[0.6868028217728251,0]","0.23782135565245768","0.7229976743395938","0.2454880872654298","15.239779472351074","0.4833497583876293","28.88902282714844","23.041309356689453","27.735584259033203","0.7126150890404472","0.5279394558957642","0.5988639391691977","28.84851150512695","0.7279227743146454","[0.7183482546815272,0]","0.5935622173112589","0.2727243365833292","41.62150192260742","0.5084724677126459","29.54379653930664","0.5884926962137829","0.8682838688089334","[0.6998352620609583,0]","0.4689259352271574","0.48904592912324274","0.8399117056212485","17.125438690185547","42.312068939208984","28.18600082397461","[0.7003382520971198,0]","0.5865841435460565","[0.6900236936358236,0]","-0.07489117502525788","15.49184226989746","0.8777345921914135","0.20769082247359696","44.22329330444336"
"stellar-sweep-27-fold-4","0.45577662026490906","0.0014825387424831844","0.006813104857753918","3","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","[0.7054875408691097,0]","30.15644073486328","0.7454374077858155","0.4106912946605415","0.5707374473182134","0.7709365837880904","30.28907012939453","0.47168075508312113","0.4882700368821769","55.30522918701172","56.1470832824707","[0.688396887668095,0]","0.03213169032340535","0.4438134767829458","-0.09786382959872886","33.50847244262695","0.4832092422868158","28.40850067138672","32.060028076171875","28.42146873474121","0.4561893649484796","0.5020942360732055","0.5203133478552044","28.859661483764647","0.4017700495984625","[0.7057298882651116,0]","0.4797689692277213","0.004966426709328231","60.56198501586914","0.4963172855945176","29.488506317138672","0.5321905240977363","0.7103839643114572","[0.6979920784942556,0]","0.4641588224209544","0.49561931145330895","0.7316378837488241","32.9140510559082","53.730857849121094","27.82339096069336","[0.7079052588148158,0]","0.4247668674558085","[0.6824408168541461,0]","0.017297145402889957","31.1057071685791","0.7970364778084582","-0.030941348273728183","57.54270935058594"
"sunny-sweep-23-fold-4","0.38182912798725355","0.003226420361179788","0.003819641549728197","3","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[512, 512, 512, 256, 128, 1]","null","[0.6974699199124839,0]","30.256986618041992","0.8302637364783787","0.49692826067666296","0.5588763634549365","0.8345090866752752","24.548694610595703","0.483749152587596","0.4796119780340532","59.841705322265625","54.905181884765625","[0.6960719564965414,0]","0.06140258562764711","0.5331175917936444","0.08416785785315972","24.703773498535156","0.48099483435645274","28.889150619506836","27.72429084777832","28.409334182739254","0.5592522272660796","0.539785425525791","0.6003086826212567","28.981194305419923","0.558961183224963","[0.705674316982967,0]","0.543602408264575","0.02697528985376263","50.520484924316406","0.496532361663775","28.81490135192871","0.5591877331625006","0.8070752552276734","[0.7004489159244737,0]","0.4623722347420514","0.4827084447547878","0.7853316030755506","28.09754943847656","52.10589218139648","28.535598754882812","[0.7055612875345418,0]","0.5025602732599166","[0.6974670986958343,0]","-0.06331010597831033","26.11121940612793","0.8166214298364447","0.03874917047454729","53.65288162231445"
"blooming-sweep-3-fold-4","0.4676957471833906","0.0007049270702779121","0.0025635902388214337","3","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 512, 256, 256, 128, 128, 1]","null","[0.6958516326955956,0]","28.729442596435547","0.7456015904291176","0.4049270480129128","0.569389861957063","0.7260355807881993","32.60708999633789","0.4668031582249639","0.48359461177812746","57.32865905761719","59.242164611816406","[0.6836358961073371,0]","-0.04341359221620844","0.4139955574836972","-0.1050196918511248","33.823631286621094","0.4790963085831619","28.66805648803711","32.42786407470703","29.40493392944336","0.4145715955406658","0.5042082397177314","0.5006372412616512","29.08626022338867","0.39614352974368194","[0.7018169688889508,0]","0.5277008797114593","-0.04988418973997355","60.95672607421875","0.4788884308829536","29.760753631591797","0.4577668879954592","0.7578231607322803","[0.6961203543415411,0]","0.4895147184262426","0.4766806236035218","0.7621802780968221","33.23599624633789","57.92472076416016","28.868114471435547","[0.6993797693338168,0]","0.4181669694598702","[0.6999175046820045,0]","-0.018656604144732913","32.77333068847656","0.7976602253564967","-0.07821241830589165","60.181175231933594"
"faithful-sweep-2-fold-4","0.303870755539675","0.0009915219347367396","0.0018069481875577016","1","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 512, 256, 256, 128, 128, 1]","null","[0.7107811058101882,0]","29.33551025390625","0.8455773134206191","0.6776416900378752","0.5958105316470603","0.862921037782798","17.191667556762695","0.46344791782726025","0.465833740450918","47.905670166015625","44.65988540649414","[0.6847925731752419,0]","0.20911205275486489","0.6817455319670696","0.2009672021801796","17.078346252441406","0.4764050074732367","29.654043197631836","17.81218910217285","29.65166282653809","0.6913404656161978","0.5642943297473327","0.5686915882656773","29.23991355895996","0.6950986491389943","[0.6950613481083231,0]","0.5746574856043305","0.20854153520544771","44.07741928100586","0.4745158988389916","29.948028564453125","0.5984613082687223","0.8651951038986501","[0.6963386669347913,0]","0.47874568690392094","0.499481793345093","0.8457405220864","18.004344940185547","43.905853271484375","27.610322952270508","[0.6929382089396557,0]","0.680406947353728","[0.6981200986405479,0]","0.1487777860751328","17.798940658569336","0.8684637985527395","0.16102809702612164","46.82780075073242"
"true-sweep-19-fold-4","0.49534238282362214","0.0010564279955724955","0.006251635963527322","3","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[512, 512, 512, 256, 128, 1]","null","[0.6961289196329142,0]","28.830537796020508","0.7275484617834753","0.381668989787998","0.4803944143811202","0.7314177197770547","36.23558807373047","0.4679581221585995","0.4532340999657747","62.046966552734375","61.68413543701172","[0.6856543510296373,0]","-0.11369451052792678","0.31528421770546233","-0.0788489477059997","35.748416900634766","0.4719867021146822","30.35350799560547","34.49811935424805","29.85573959350586","0.34942555889234406","0.5113329399113196","0.5116238201574237","29.48285217285156","0.3617801282756531","[0.6884470167655787,0]","0.48535317075383433","-0.09316053859060848","59.51305389404297","0.4708992684365553","29.6962890625","0.49599525306406367","0.7446364166900667","[0.6906677619235082,0]","0.48771838463824624","0.4801236353742351","0.7800356569663899","34.535003662109375","61.82634353637695","28.678186416625977","[0.6832196785794957,0]","0.3810217455447682","[0.6998888436099149,0]","-0.10249488187311906","38.2939338684082","0.7144370924064758","-0.16000285690779403","64.7463607788086"
"sweet-sweep-25-fold-1","0.43049894645645687","0.00485218379061342","0.0029889608706852792","4","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","30.67003059387207","null","0.5520235945213956","null","null","null","0.4685575840392566","null","55.75693893432617","null","[0.691735875782201,0]","null","null","null","null","0.4617952749052186","null","27.51854133605957","null","null","0.5830921407566292","null","30.16642951965332","null","null","0.505189440248721","null","null","null","29.66282844543457","null","0.7680221480616167","[0.690890874375024,0]","0.4550329657711806","null","0.8275809798616709","25.02036476135254","null","null","null","0.5062519287072429","[0.6900458729678469,0]","0.009270817673624587","null","null","0.06727434103133645","52.060733795166016"
"vague-sweep-21-fold-0","0.2562011320710055","0.000644848263125168","0.006781484691365152","3","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","0.7691406610367749","null","null","null","0.4588770318956298","null","null","null","[0.6855181569132052,0]","null","null","null","null","0.4588770318956298","null","null","null","null","0.5900409670033901","null","30.203155517578125","null","null","null","null","null","null","30.203155517578125","null","null","[0.6855181569132052,0]","null","null","0.8972921398744116","12.893949508666992","null","null","null","null","null","null","null","null","0.24417016257046908","42.18716812133789"
"effortless-sweep-12-fold-0","0.1479720473557108","0.0009232534840701432","0.005843186701525096","1","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","0.8597323266398895","null","null","null","0.4547205202299519","null","null","null","[0.6803340004025507,0]","null","null","null","null","0.4547205202299519","null","null","null","null","0.6251099793830585","null","30.43515396118164","null","null","null","null","null","null","30.43515396118164","null","null","[0.6803340004025507,0]","null","null","0.9343244627212186","7.834226131439209","null","null","null","null","null","null","null","null","0.31933910057284143","37.9915657043457"
"wandering-sweep-4-fold-0","0.38543264571033065","0.0021290973570360708","0.002552385741225952","2","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[512, 512, 512, 256, 128, 1]","null","null","null","null","0.5530465015970861","null","null","null","0.4539590368536306","null","null","null","[0.6806070138512881,0]","null","null","null","null","0.4539590368536306","null","null","null","null","0.5343120491507143","null","30.47765731811523","null","null","null","null","null","null","30.47765731811523","null","null","[0.6806070138512881,0]","null","null","0.7973954673295245","24.96323585510254","null","null","null","null","null","null","null","null","0.07470044385758545","51.646236419677734"
"balmy-sweep-8-fold-0","0.23164875872600488","0.004252111726756463","0.012503747976376055","2","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","0.7031222985612299","null","null","null","0.4523918286081068","null","null","null","[0.6738845305606762,0]","null","null","null","null","0.4523918286081068","null","null","null","null","0.601254646286651","null","30.56513214111328","null","null","null","null","null","null","30.56513214111328","null","null","[0.6738845305606762,0]","null","null","0.853925167119554","16.581205368041992","null","null","null","null","null","null","null","null","0.23182359072513417","42.87630081176758"
"likely-sweep-20-fold-0","0.2574879671648571","0.003626191768959979","0.00787660208186582","3","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","0.6742728654911776","null","null","null","0.4490980391639331","null","null","null","[0.6741261934732183,0]","null","null","null","null","0.4490980391639331","null","null","null","null","0.559221132178878","null","30.748977661132812","null","null","null","null","null","null","30.748977661132812","null","null","[0.6741261934732183,0]","null","null","0.8417195646108233","18.192502975463867","null","null","null","null","null","null","null","null","0.1781649328027438","45.871299743652344"
"cool-sweep-1-fold-0","0.11976062952989153","0.030487697208173813","0.012122290433546526","5","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[512, 512, 512, 256, 128, 1]","null","null","null","null","-0.0591006168559014","null","null","null","0.29139080904376946","null","null","null","[0.6039044727067164,3.0355678330091846e-272]","null","null","null","null","0.29139080904376946","null","null","null","null","0.20552213360776425","null","39.551517486572266","null","null","null","null","null","null","39.551517486572266","null","null","[0.6039044727067164,3.0355678330091846e-272]","null","null","0.23140955512277597","59.152862548828125","null","null","null","null","null","null","null","null","-0.07859121320865325","60.20232009887695"
"still-sweep-13-fold-0","0.09473815436403772","0.044628756288698834","0.0000948302142807644","4","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","-0.1830269561498856","null","null","null","-0.4013957053676305","null","null","null","[0.25556654835577924,3.847495924514568e-42]","null","null","null","null","-0.4013957053676305","null","null","null","null","0.23829088895891348","null","78.21987915039062","null","null","null","null","null","null","78.21987915039062","null","null","[0.25556654835577924,3.847495924514568e-42]","null","null","0.4187706302997151","66.07438659667969","null","null","null","null","null","null","null","null","-0.790147319166669","99.91831970214844"
"sleek-sweep-14-fold-3","0.4706100923774178","0.011427928739665591","0.001800480621684324","4","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[2048, 1024, 512, 256, 128, 1]","null","[0.6855720755928761,0]","30.65608787536621","0.7328112864488073","0.39992318232841695","0.4902056197155774","null","null","0.4918199381154804","0.4898777265457299","64.18766784667969","null","[0.706224528880525,0]","-0.2222781240120044","0.32395814284160973","-0.4972684894699746","44.163116455078125","null","28.319252014160156","52.53295135498047","null","null","0.541762344848737","0.4758637448431891","null","0.2115516651413939","null","0.38516004968654827","null","82.59452819824219","null","28.364423751831055","null","0.4990898877850291","null","0.45528073332305696","0.45571640469003105","0.7751459505137093","33.515472412109375","67.85431671142578","30.024574279785156","[0.704604916151977,0]","0.05743398951117928","[0.6796194292405036,0]","-0.1405324572596145","37.80883026123047","0.7221732352470255","-0.14292644030306167","63.79323959350586"
"skilled-sweep-17-fold-0","0.2875184037180186","0.02503185327383063","0.00006243496614214408","3","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.8)","[512, 512, 512, 256, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"grateful-sweep-18-fold-0","0.3984983464160972","0.002125818770514455","0.00019320837662024568","3","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.8)","[2048, 1024, 512, 256, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"rural-sweep-32","0.3944206408592388","0.002157454174781709","0.0008212116331445786","3","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"chocolate-sweep-30-fold-0","0.07206095597422635","0.00006079990657868226","0.0004838181843968919","1","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"fanciful-sweep-10-fold-0","0.26483443291659564","0.0003292550353795393","0.0006305982801054109","2","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"colorful-sweep-11-fold-0","0.3356620111930896","0.001029142869648397","0.006251116744395984","2","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"chocolate-sweep-31","0.4668818358260825","0.026442398398987967","0.001606929699043585","5","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 512, 256, 256, 128, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"fallen-sweep-28-fold-0","0.2762765595749477","0.0016617485140063553","0.002994253133570108","3","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.8)","[1024, 512, 256, 128, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"sunny-sweep-15-fold-0","0.0057683858988328285","0.012157345294508152","0.001630110436257886","5","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 512, 256, 256, 128, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"trim-sweep-5-fold-0","0.4955564006944352","0.0004546203194688807","0.000250859473032675","2","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 512, 512, 256, 256, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"classic-sweep-22-fold-0","0.22622502339490935","0.0024141744223363094","0.005325461371525596","3","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[512, 512, 512, 256, 128, 1]","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"